Member_number,basket
1074,"['gardening', 'condiments', 'fruitvegetable juice', 'misc beverages', 'oils', 'bags', 'semifinished bread', 'cleaning', 'beverages', 'sweets']"
1075,"['pip fruit', 'canned fish', 'fruitvegetable juice', 'dishes', 'frozen meals', 'bottled water', 'uhtmilk', 'meat', 'citrus fruit', 'bakery']"
1076,"['brown bread', 'whole milk', 'butter', 'bottled water', 'meat', 'coffee', 'sausage']"
1077,"['brown bread', 'artif sweetener', 'tropical fruit', 'pastry', 'butter', 'soda', 'vegetables', 'grains', 'root vegetables', 'beverages', 'bakery']"
1078,"['curd', 'soda', 'meat', 'coffee', 'bakery']"
1079,"['napkins', 'bottled water', 'vegetables', 'beverages', 'sweet spreads', 'bakery']"
1080,"['pet_care', 'soda', 'vegetables', 'root vegetables', 'beverages']"
1081,"['dairy', 'stationery', 'specialty bar', 'tropical fruit', 'whole milk', 'pastry', 'vegetables', 'yogurt', 'baking_ingredients', 'beverages', 'meat', 'coffee']"
1082,"['beef', 'bottled water', 'hygiene articles', 'vegetables', 'margarine']"
1083,"['whole milk', 'sliced cheese', 'soda', 'cleaning', 'meat', 'sweets']"
1084,"['pip fruit', 'vegetables']"
1085,"['stationery', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'citrus fruit']"
1086,"['ice cream', 'beef', 'butter', 'curd', 'soda', 'vegetables', 'herbs', 'beverages', 'dairy', 'citrus fruit', 'margarine', 'bakery']"
1087,"['sweets', 'pip fruit', 'whole milk', 'gardening', 'berries', 'soda', 'coffee', 'vegetables', 'jam', 'beverages', 'meat', 'herbs', 'bakery', 'sausage']"
1088,"['whole milk', 'tropical fruit', 'berries', 'vegetables', 'baking_ingredients', 'yogurt', 'hard cheese', 'domestic eggs', 'meat']"
1089,"['condiments', 'yogurt']"
1090,"['ice cream', 'napkins', 'beef', 'whole milk', 'pastry', 'dishes', 'cleaning', 'yogurt', 'beverages', 'sweets', 'sausage']"
1092,"['stationery', 'specialty bar', 'electronics', 'snacks', 'ready_meals', 'bottled water', 'fruits', 'soda', 'bags', 'vegetables', 'yogurt', 'domestic eggs', 'root vegetables', 'beverages', 'meat', 'bakery', 'sausage']"
1093,"['dessert', 'domestic eggs']"
1094,"['brown bread', 'stationery', 'whole milk', 'tropical fruit', 'snacks', 'misc beverages', 'bakery', 'soda', 'vegetables', 'grains', 'cleaning', 'root vegetables', 'meat', 'sweets', 'sausage']"
1095,"['pickled vegetables', 'bottled water', 'bags', 'fruits_vegetables', 'grains', 'yogurt', 'domestic eggs', 'meat']"
1096,"['fruitvegetable juice', 'pip fruit']"
1097,"['dairy', 'whole milk', 'tropical fruit', 'curd', 'bottled water', 'bags', 'soda', 'hard cheese', 'root vegetables', 'meat', 'sweets', 'sausage']"
1098,"['sweets', 'napkins', 'pet_care', 'whole milk', 'tropical fruit', 'dessert', 'bottled water', 'fruits', 'bags', 'vegetables', 'yogurt', 'hard cheese', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1099,"['pip fruit', 'brown bread', 'root vegetables', 'beverages', 'dairy', 'meat']"
1100,"['dairy', 'whole milk', 'butter', 'hygiene articles', 'soda', 'fruits', 'grains', 'yogurt', 'baking_ingredients', 'meat']"
1101,"['brown bread', 'whole milk', 'vegetables', 'beverages', 'dairy', 'bakery']"
1102,"['sweets', 'brown bread', 'vegetables', 'cleaning', 'yogurt', 'root vegetables', 'beverages', 'bakery']"
1103,"['ice cream', 'pastry', 'hygiene articles', 'decor', 'tea', 'yogurt', 'dairy', 'herbs', 'meat', 'bakery']"
1104,"['whole milk', 'vegetables', 'yogurt', 'domestic eggs', 'root vegetables', 'meat', 'herbs', 'bakery']"
1105,"['whole milk', 'tropical fruit', 'bottled water', 'vegetables', 'yogurt', 'bakery']"
1107,"['beef', 'dairy', 'specialty fat', 'stationery', 'whole milk', 'pastry', 'misc beverages', 'bags', 'semifinished bread', 'vegetables', 'liver loaf', 'meat', 'citrus fruit', 'bakery']"
1108,"['frozen potato products', 'brown bread', 'whole milk', 'pastry', 'snacks', 'oils', 'bags', 'fruits', 'beverages', 'dairy', 'specialty cheese']"
1109,"['pip fruit', 'whole milk', 'pastry', 'curd', 'snacks', 'sweeteners', 'vegetables', 'citrus fruit', 'margarine', 'sweets']"
1110,"['whole milk', 'pastry', 'butter', 'snacks', 'curd', 'dishes', 'pickled vegetables', 'bottled water', 'soda', 'yogurt', 'baking_ingredients', 'beverages', 'meat', 'margarine', 'sweets']"
1111,"['beef', 'whole milk', 'bottled water', 'uhtmilk', 'soda', 'semifinished bread', 'vegetables', 'grains', 'sweeteners', 'dairy']"
1112,"['ice cream', 'stationery', 'cleaning', 'jam']"
1113,"['stationery', 'whole milk', 'specialty bar', 'curd', 'yogurt', 'baking_ingredients', 'domestic eggs', 'beverages', 'meat']"
1114,"['brown bread', 'pet_care', 'snacks', 'dessert', 'misc beverages', 'uhtmilk', 'bags', 'bakery', 'root vegetables', 'meat', 'citrus fruit', 'sweets', 'sausage']"
1115,"['butter', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'meat']"
1116,"['brown bread', 'napkins', 'canned vegetables', 'stationery', 'bottled water', 'soda', 'vegetables', 'hard cheese', 'root vegetables', 'beverages', 'dairy', 'meat', 'bakery', 'zwieback']"
1117,"['meat', 'dairy', 'whole milk']"
1118,"['pip fruit', 'dairy', 'whole milk', 'household', 'butter', 'pastry', 'curd', 'sliced cheese', 'pickled vegetables', 'berries', 'condensed milk', 'personal_care', 'vegetables', 'yogurt', 'beverages', 'meat', 'bakery']"
1119,"['fruits', 'whole milk']"
1120,"['sweets', 'brown bread', 'stationery', 'specialty bar', 'pastry', 'tropical fruit', 'condensed milk', 'uhtmilk', 'soda', 'sweeteners', 'vegetables', 'grains', 'meat', 'citrus fruit', 'bakery']"
1121,"['bags', 'coffee']"
1122,"['dishes', 'bottled water', 'vegetables', 'root vegetables', 'meat', 'citrus fruit']"
1123,"['pip fruit', 'canned vegetables', 'whole milk', 'oils', 'bags', 'soda', 'vegetables', 'yogurt', 'meat', 'bakery']"
1124,"['beverages', 'soda', 'yogurt', 'hygiene articles']"
1125,"['pastry', 'snacks', 'condensed milk', 'bags', 'root vegetables', 'citrus fruit', 'margarine', 'bakery', 'sausage']"
1126,"['napkins', 'dairy', 'stationery', 'whole milk', 'misc beverages', 'root vegetables', 'meat', 'bakery']"
1127,"['butter', 'pastry', 'uhtmilk', 'bags', 'soda', 'vegetables', 'meat', 'citrus fruit', 'margarine', 'bakery']"
1128,"['specialty bar', 'soda', 'vegetables', 'domestic eggs', 'beverages', 'meat', 'coffee', 'bakery']"
1129,"['brown bread', 'gardening', 'whole milk', 'frozen meals', 'fruits', 'bags', 'tea', 'yogurt', 'baking_ingredients', 'beverages', 'dairy', 'sweets']"
1130,"['dairy', 'tropical fruit', 'dessert', 'bottled water', 'soda', 'cleaning', 'yogurt', 'root vegetables', 'meat', 'margarine']"
1132,"['whole milk', 'snacks', 'bags', 'soda', 'semifinished bread', 'vegetables', 'beverages', 'bakery']"
1133,"['napkins', 'whole milk', 'pastry', 'curd', 'bags', 'grains', 'yogurt', 'domestic eggs', 'meat', 'coffee', 'bakery', 'sausage']"
1134,"['brown bread', 'stationery', 'pastry', 'oils', 'vegetables', 'yogurt', 'dairy']"
1135,"['whole milk', 'butter', 'dessert', 'bags', 'soda', 'vegetables', 'hard cheese', 'sausage']"
1136,"['brown bread', 'beef', 'citrus fruit', 'tropical fruit', 'whole milk', 'fruitvegetable juice', 'gardening', 'bags', 'vegetables', 'root vegetables', 'beverages', 'dairy', 'herbs', 'bakery']"
1137,"['whole milk', 'snacks', 'sweeteners', 'vegetables', 'beverages']"
1138,"['napkins', 'whole milk', 'root vegetables', 'dairy', 'citrus fruit', 'bakery']"
1139,"['brown bread', 'dairy', 'tropical fruit', 'misc beverages', 'pickled vegetables', 'beverages', 'meat', 'bakery']"
1140,"['pip fruit', 'electronics', 'curd', 'bags', 'vegetables', 'meat', 'bakery']"
1141,"['pet_care', 'whole milk', 'tropical fruit', 'berries', 'soda', 'yogurt', 'bakery']"
1142,"['soups', 'brown bread', 'napkins', 'stationery', 'soda', 'vegetables', 'meat', 'bakery']"
1143,"['dairy', 'whole milk', 'misc beverages', 'oils', 'uhtmilk', 'pickled vegetables', 'soda', 'sweeteners', 'meat']"
1144,"['dairy', 'whole milk', 'soda', 'hard cheese', 'domestic eggs', 'root vegetables', 'beverages', 'meat', 'coffee', 'fish', 'bakery']"
1145,"['brown bread', 'tropical fruit', 'soda', 'vegetables', 'root vegetables', 'beverages']"
1146,"['pip fruit', 'dairy', 'whole milk', 'sliced cheese', 'curd', 'cereals', 'berries', 'bottled water', 'bags', 'soda', 'bakery', 'vegetables', 'yogurt', 'root vegetables', 'beverages', 'meat', 'margarine', 'sweets']"
1147,"['whole milk', 'canned fish', 'frozen meals', 'soda', 'cleaning', 'sweets']"
1148,"['pet_care', 'whole milk', 'tropical fruit', 'sliced cheese', 'bags', 'soda', 'vegetables', 'yogurt', 'baking_ingredients', 'root vegetables', 'meat', 'bakery', 'sausage']"
1149,"['seasonal products', 'soda', 'vegetables', 'yogurt', 'beverages', 'meat']"
1150,"['pip fruit', 'fruitvegetable juice', 'berries', 'uhtmilk', 'bottled water', 'sweeteners', 'vegetables', 'beverages', 'bakery']"
1151,"['pip fruit', 'pastry', 'curd', 'berries', 'dairy']"
1152,"['dairy', 'whole milk', 'frozen meals', 'soda', 'domestic eggs', 'meat', 'bakery']"
1153,"['ice cream', 'dairy', 'whole milk', 'butter', 'tropical fruit', 'ready_meals', 'chewing gum', 'oils', 'fruits', 'bakery', 'cleaning', 'beverages', 'meat', 'sweets']"
1154,"['whole milk', 'personal_care', 'vegetables', 'root vegetables', 'beverages', 'citrus fruit', 'bakery', 'sausage']"
1155,"['pet_care', 'whole milk', 'household', 'yogurt', 'brandy', 'meat', 'sausage']"
1156,"['vegetables', 'berries']"
1157,"['napkins', 'beef', 'whole milk', 'tropical fruit', 'curd', 'frozen meals', 'uhtmilk']"
1158,"['whole milk', 'butter', 'bottled water', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'citrus fruit', 'bakery']"
1159,"['light bulbs', 'soda', 'vegetables', 'domestic eggs', 'citrus fruit']"
1160,"['pip fruit', 'beef', 'whole milk', 'butter', 'tropical fruit', 'chewing gum', 'frozen meals', 'oils', 'bags', 'domestic eggs', 'yogurt', 'root vegetables', 'beverages', 'coffee']"
1161,"['beef', 'stationery', 'whole milk', 'vegetables', 'yogurt', 'beverages', 'dairy']"
1162,"['citrus fruit', 'snacks', 'fruitvegetable juice', 'misc beverages', 'berries', 'personal_care', 'yogurt', 'beverages', 'coffee', 'bakery']"
1163,"['beef', 'stationery', 'whole milk', 'bottled water', 'vegetables', 'citrus fruit', 'bakery', 'sausage']"
1164,"['canned vegetables', 'sliced cheese', 'whole milk', 'vegetables', 'root vegetables']"
1165,"['spices', 'beef', 'whole milk', 'household', 'curd', 'fruits_vegetables', 'vegetables', 'meat', 'sweets']"
1166,"['root vegetables', 'brown bread', 'tropical fruit', 'bottled water']"
1167,"['coffee', 'vegetables', 'bakery', 'domestic eggs']"
1168,"['whole milk', 'uhtmilk', 'bakery', 'vegetables', 'herbs', 'beverages', 'meat', 'sweet spreads', 'sweets']"
1169,"['sweets', 'napkins', 'stationery', 'whole milk', 'misc', 'bottled water', 'soda', 'vegetables', 'cleaning', 'beverages', 'dairy', 'margarine', 'bakery']"
1170,"['pip fruit', 'dairy', 'pet_care', 'whole milk', 'bottled water', 'bakery', 'soda', 'bags', 'beverages', 'meat', 'citrus fruit', 'sweets']"
1171,"['brown bread', 'bottled water', 'soda', 'vegetables', 'grains', 'beverages', 'dairy', 'sweets']"
1173,"['stationery', 'specialty bar', 'fruitvegetable juice', 'hard cheese', 'beverages', 'margarine', 'bakery']"
1174,"['pip fruit', 'fruitvegetable juice', 'pickled vegetables', 'bags', 'baking_ingredients', 'root vegetables', 'syrup', 'dairy', 'citrus fruit', 'bakery']"
1175,"['brown bread', 'beef', 'whole milk', 'butter', 'berries', 'bottled water', 'bags', 'soda', 'oils', 'vegetables', 'grains', 'yogurt', 'beverages', 'meat', 'citrus fruit', 'sweets']"
1176,"['frozen potato products', 'whole milk', 'pastry', 'tropical fruit', 'bottled water', 'soda', 'sweeteners', 'vegetables', 'hard cheese', 'domestic eggs', 'dairy']"
1177,"['beverages', 'brown bread', 'dessert', 'bakery']"
1178,"['ice cream', 'spices', 'tropical fruit', 'oils', 'bottled water', 'bags', 'vegetables', 'jam', 'meat', 'coffee', 'sweets']"
1179,"['napkins', 'cereals', 'frozen meals', 'soda', 'meat']"
1180,"['frozen potato products', 'citrus fruit', 'bakery', 'whole milk']"
1181,"['whole milk', 'condiments', 'dishes', 'oils', 'root vegetables', 'beverages', 'bakery', 'sausage']"
1182,"['ice cream', 'pip fruit', 'beef', 'dairy', 'whole milk', 'butter', 'canned fish', 'oils', 'bakery', 'bags', 'baking_ingredients', 'beverages', 'meat', 'sweets']"
1183,"['brown bread', 'dairy', 'butter', 'pastry', 'dessert', 'vegetables', 'domestic eggs', 'root vegetables', 'beverages', 'meat', 'sausage']"
1184,"['beef', 'stationery', 'whole milk', 'root vegetables', 'sweet spreads']"
1185,"['ice cream', 'pip fruit', 'beef', 'specialty bar', 'whole milk', 'chewing gum', 'frozen meals', 'beverages', 'meat', 'sweets']"
1186,"['canned fruit', 'whole milk', 'butter', 'soda', 'vegetables', 'cleaning', 'domestic eggs', 'bakery']"
1187,"['bags', 'soda', 'vegetables', 'domestic eggs', 'citrus fruit']"
1188,"['whole milk', 'bottled water', 'soda', 'vegetables', 'cleaning', 'beverages', 'dairy', 'bakery']"
1189,"['tropical fruit', 'beverages', 'dessert', 'sliced cheese']"
1190,"['sweets', 'pip fruit', 'dairy', 'bottled water', 'soda', 'meat spreads', 'vegetables', 'root vegetables', 'beverages', 'meat', 'bakery']"
1191,"['berries', 'bakery', 'vegetables', 'meat', 'citrus fruit', 'sweets']"
1192,"['seasonal products', 'brown bread', 'butter', 'fruitvegetable juice', 'pastry']"
1193,"['root vegetables', 'soda', 'citrus fruit', 'bags']"
1194,"['pip fruit', 'napkins', 'whole milk', 'butter', 'pastry', 'bottled water', 'honey', 'soda', 'coffee']"
1195,"['whole milk', 'butter', 'misc', 'bags', 'beverages', 'dairy']"
1196,"['pip fruit', 'stationery', 'condiments', 'bakery', 'bags', 'domestic eggs', 'beverages', 'sweets']"
1197,"['pip fruit', 'brown bread', 'beef', 'whole milk', 'sliced cheese', 'misc beverages', 'bakery', 'fruits_vegetables', 'yogurt', 'root vegetables', 'dairy', 'citrus fruit', 'sweets', 'sausage']"
1198,"['napkins', 'stationery', 'vegetables', 'citrus fruit', 'fish', 'sweets']"
1199,"['canned vegetables', 'whole milk', 'snacks', 'bottled water', 'fruits', 'sweeteners', 'grains', 'beverages', 'bakery', 'sausage']"
1200,"['sweets', 'brown bread', 'canned fish', 'dessert', 'cleaning', 'root vegetables', 'citrus fruit', 'bakery']"
1201,"['decor', 'coffee', 'misc beverages', 'whole milk']"
1202,"['oils', 'soda', 'semifinished bread', 'yogurt', 'root vegetables', 'dairy', 'coffee', 'bakery']"
1204,"['sweets', 'pip fruit', 'sliced cheese', 'whole milk', 'pastry', 'fruits', 'soda', 'cleaning', 'yogurt', 'root vegetables', 'beverages', 'meat', 'bakery']"
1205,"['whole milk', 'ready_meals', 'curd', 'chewing gum', 'oils', 'bottled water', 'yogurt', 'bakery']"
1206,"['pet_care', 'whole milk', 'pastry', 'tropical fruit', 'hygiene articles', 'soda', 'decor', 'sweeteners', 'vegetables', 'cleaning', 'bakery', 'sausage']"
1207,"['whole milk', 'pickled vegetables', 'bags', 'semifinished bread', 'yogurt', 'meat']"
1208,"['dairy', 'beef', 'tropical fruit', 'misc beverages', 'frozen meals', 'bottled water', 'bags', 'yogurt', 'meat', 'bakery']"
1209,"['brown bread', 'fruitvegetable juice', 'dessert', 'bags', 'yogurt', 'meat', 'specialty cheese', 'bakery', 'sausage']"
1211,"['specialty bar', 'butter', 'tropical fruit', 'snacks', 'whole milk', 'uhtmilk', 'misc', 'vegetables', 'yogurt', 'domestic eggs', 'meat', 'margarine', 'bakery']"
1212,"['spices', 'beef', 'pet_care', 'tropical fruit', 'vegetables', 'domestic eggs', 'root vegetables']"
1213,"['brown bread', 'beef', 'stationery', 'fruitvegetable juice', 'dessert', 'domestic eggs', 'beverages', 'meat', 'citrus fruit', 'margarine']"
1214,"['pip fruit', 'yogurt', 'syrup', 'meat', 'bakery']"
1215,"['pip fruit', 'sliced cheese', 'condiments', 'fruits', 'bags', 'semifinished bread', 'vegetables', 'yogurt', 'root vegetables']"
1216,"['brown bread', 'napkins', 'whole milk', 'pastry', 'tropical fruit', 'bottled water', 'bakery', 'soda', 'vegetables', 'root vegetables', 'beverages', 'meat', 'citrus fruit', 'specialty fat']"
1217,"['pet_care', 'whole milk', 'pastry', 'bottled water', 'fruits', 'sweeteners', 'citrus fruit']"
1218,"['whole milk', 'tropical fruit', 'fruitvegetable juice', 'curd', 'butter', 'frozen meals', 'bags', 'decor', 'vegetables', 'yogurt', 'meat', 'citrus fruit', 'fish', 'bakery', 'sausage']"
1219,"['beverages', 'brown bread']"
1220,"['ice cream', 'dental care', 'napkins', 'dairy', 'pastry', 'bakery', 'vegetables', 'grains', 'beverages', 'meat', 'margarine', 'sweets', 'sausage']"
1221,"['sweeteners', 'bottled water']"
1222,"['beverages', 'coffee', 'vegetables', 'condensed milk']"
1223,"['butter', 'uhtmilk', 'fruits_vegetables', 'semifinished bread', 'grains', 'yogurt', 'beverages', 'meat', 'citrus fruit']"
1224,"['cooking chocolate', 'uhtmilk', 'sweets', 'sausage']"
1225,"['brown bread', 'seasonal products', 'whole milk', 'electronics', 'pastry', 'sliced cheese', 'curd', 'dessert', 'bags', 'soda', 'vegetables', 'cleaning', 'grains', 'jam', 'beverages', 'dairy', 'bakery']"
1226,"['beef', 'specialty bar', 'pastry', 'condiments', 'soda', 'hard cheese', 'domestic eggs', 'citrus fruit', 'bakery']"
1227,"['dairy', 'yogurt']"
1228,"['electronics', 'beverages']"
1229,"['frozen potato products', 'brown bread', 'beef', 'stationery', 'oils', 'dairy', 'meat', 'bakery']"
1230,"['dairy', 'whole milk', 'pastry', 'sliced cheese', 'misc beverages', 'soda', 'vegetables', 'domestic eggs', 'beverages', 'meat']"
1231,"['ice cream', 'dairy', 'sliced cheese', 'electronics', 'fruits', 'soda', 'cleaning', 'vegetables', 'hard cheese', 'yogurt', 'root vegetables', 'beverages', 'meat', 'margarine', 'grains', 'sausage']"
1232,"['butter', 'bottled water', 'fruits', 'grains', 'beverages', 'bakery']"
1233,"['dairy', 'whole milk', 'snacks', 'curd', 'uhtmilk', 'bags', 'soda', 'vegetables', 'beverages', 'meat', 'margarine', 'bakery']"
1234,"['pastry', 'snacks', 'curd', 'bottled water', 'bags', 'coffee', 'yogurt', 'root vegetables', 'margarine']"
1235,"['pet_care', 'butter', 'curd', 'condensed milk', 'bags', 'bottled water', 'soda', 'vegetables', 'cleaning', 'beverages', 'dairy', 'bakery', 'sausage']"
1236,"['pip fruit', 'stationery', 'whole milk', 'dishes', 'bags']"
1237,"['dairy', 'whole milk', 'tropical fruit', 'misc beverages', 'soda', 'sweeteners', 'vegetables', 'cleaning', 'hard cheese', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1238,"['meat', 'margarine']"
