Member_number,Date,itemDescription,cleaned,mapped
4914,12-04-2015,frankfurter,frankfurter,meat
2764,24-07-2015,other vegetables,other vegetables,vegetables
4187,09-05-2015,dog food,dog food,pet_care
1392,20-04-2015,specialty bar,specialty bar,specialty bar
3427,28-04-2015,curd,curd,curd
1411,20-02-2015,frankfurter,frankfurter,meat
3390,14-11-2015,soda,soda,soda
4787,01-08-2015,beef,beef,beef
3310,17-01-2015,canned beer,canned beer,beverages
1782,10-10-2015,pork,pork,meat
3375,26-04-2015,frankfurter,frankfurter,meat
2760,07-01-2015,sausage,sausage,sausage
4249,13-09-2015,canned beer,canned beer,beverages
2904,06-06-2015,specialty chocolate,specialty chocolate,sweets
4090,26-02-2015,curd,curd,curd
3060,05-07-2015,canned beer,canned beer,beverages
3768,07-10-2015,whole milk,whole milk,whole milk
1232,21-01-2015,rolls/buns,rollsbuns,bakery
1360,23-10-2015,pork,pork,meat
1107,01-10-2015,citrus fruit,citrus fruit,citrus fruit
2865,04-11-2015,pot plants,pot plants,gardening
2958,14-06-2015,rolls/buns,rollsbuns,bakery
2448,12-07-2015,butter,butter,butter
1222,24-09-2015,condensed milk,condensed milk,condensed milk
2943,20-06-2015,sausage,sausage,sausage
2270,11-08-2015,whole milk,whole milk,whole milk
3812,21-07-2015,sausage,sausage,sausage
1482,22-11-2015,beverages,beverages,beverages
4720,22-02-2015,beverages,beverages,beverages
1344,04-09-2015,bottled water,bottled water,bottled water
2397,04-10-2015,newspapers,newspapers,stationery
4182,12-05-2015,cleaner,cleaner,cleaning
4487,10-07-2015,sausage,sausage,sausage
3467,24-12-2015,newspapers,newspapers,stationery
2443,15-11-2015,sausage,sausage,sausage
2749,27-01-2015,misc. beverages,misc beverages,misc beverages
4389,13-04-2015,white wine,white wine,beverages
1674,04-12-2015,sausage,sausage,sausage
4262,16-10-2015,meat,meat,meat
2082,07-04-2015,frankfurter,frankfurter,meat
4494,06-01-2015,ice cream,ice cream,ice cream
2460,28-09-2015,canned beer,canned beer,beverages
4509,29-11-2015,tropical fruit,tropical fruit,tropical fruit
2267,03-07-2015,meat,meat,meat
4891,05-09-2015,whole milk,whole milk,whole milk
3962,20-09-2015,sausage,sausage,sausage
4964,18-07-2015,frankfurter,frankfurter,meat
2914,30-11-2015,meat,meat,meat
2808,05-05-2015,root vegetables,root vegetables,root vegetables
1085,15-08-2015,root vegetables,root vegetables,root vegetables
3808,18-08-2015,whole milk,whole milk,whole milk
4149,07-01-2015,citrus fruit,citrus fruit,citrus fruit
2331,05-06-2015,citrus fruit,citrus fruit,citrus fruit
4475,03-04-2015,other vegetables,other vegetables,vegetables
2761,25-04-2015,citrus fruit,citrus fruit,citrus fruit
2620,14-12-2015,sausage,sausage,sausage
3206,13-10-2015,frankfurter,frankfurter,meat
1226,13-04-2015,hard cheese,hard cheese,hard cheese
1395,07-03-2015,cream cheese ,cream cheese,dairy
2465,07-06-2015,turkey,turkey,meat
3572,09-07-2015,pork,pork,meat
4387,08-05-2015,whole milk,whole milk,whole milk
1555,27-03-2015,rolls/buns,rollsbuns,bakery
1181,16-11-2015,sausage,sausage,sausage
2814,11-05-2015,ice cream,ice cream,ice cream
2794,16-09-2015,liquor,liquor,beverages
2912,28-01-2015,pip fruit,pip fruit,pip fruit
4667,12-01-2015,root vegetables,root vegetables,root vegetables
2235,25-10-2015,soda,soda,soda
2353,02-05-2015,soda,soda,soda
3449,08-03-2015,sausage,sausage,sausage
1058,10-11-2015,root vegetables,root vegetables,root vegetables
1027,17-05-2015,pork,pork,meat
3302,22-05-2015,pork,pork,meat
2229,30-05-2015,chocolate,chocolate,sweets
2188,15-08-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1547,18-04-2015,pickled vegetables,pickled vegetables,pickled vegetables
1649,30-06-2015,bottled water,bottled water,bottled water
3254,10-09-2015,frankfurter,frankfurter,meat
2818,07-11-2015,tropical fruit,tropical fruit,tropical fruit
2703,08-05-2015,canned beer,canned beer,beverages
3332,31-01-2015,root vegetables,root vegetables,root vegetables
2473,01-07-2015,meat,meat,meat
2810,30-12-2015,frankfurter,frankfurter,meat
1033,22-04-2015,tropical fruit,tropical fruit,tropical fruit
4222,27-05-2015,tropical fruit,tropical fruit,tropical fruit
3679,21-09-2015,citrus fruit,citrus fruit,citrus fruit
2212,27-08-2015,hamburger meat,hamburger meat,meat
1507,22-06-2015,chicken,chicken,meat
2870,21-01-2015,chicken,chicken,meat
3429,26-04-2015,frankfurter,frankfurter,meat
4148,09-04-2015,canned beer,canned beer,beverages
2970,30-12-2015,turkey,turkey,meat
2013,30-08-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
3967,30-05-2015,pasta,pasta,grains
2885,15-05-2015,citrus fruit,citrus fruit,citrus fruit
3935,02-07-2015,sausage,sausage,sausage
3283,01-05-2015,whole milk,whole milk,whole milk
3268,06-11-2015,canned beer,canned beer,beverages
3677,30-04-2015,citrus fruit,citrus fruit,citrus fruit
3495,27-06-2015,liquor (appetizer),liquor appetizer,liquor appetizer
1410,04-10-2015,citrus fruit,citrus fruit,citrus fruit
2440,06-06-2015,sausage,sausage,sausage
4088,13-01-2015,chicken,chicken,meat
2469,23-09-2015,hamburger meat,hamburger meat,meat
4229,06-03-2015,sausage,sausage,sausage
2728,02-08-2015,beef,beef,beef
4694,25-01-2015,citrus fruit,citrus fruit,citrus fruit
2836,29-12-2015,UHT-milk,uhtmilk,uhtmilk
1311,12-02-2015,candy,candy,sweets
1760,23-01-2015,newspapers,newspapers,stationery
3656,02-03-2015,beef,beef,beef
3720,28-05-2015,sausage,sausage,sausage
2996,26-09-2015,frankfurter,frankfurter,meat
1949,22-07-2015,canned beer,canned beer,beverages
4498,11-02-2015,bottled beer,bottled beer,beverages
2447,28-12-2015,onions,onions,vegetables
1952,23-03-2015,tropical fruit,tropical fruit,tropical fruit
4099,27-01-2015,bottled water,bottled water,bottled water
1804,12-03-2015,beef,beef,beef
1510,16-05-2015,sausage,sausage,sausage
2879,18-04-2015,hair spray,hair spray,personal_care
4899,12-03-2015,chicken,chicken,meat
4326,29-09-2015,pork,pork,meat
1670,17-05-2015,ice cream,ice cream,ice cream
1117,24-05-2015,meat,meat,meat
1346,03-04-2015,other vegetables,other vegetables,vegetables
1178,15-11-2015,bottled water,bottled water,bottled water
1649,25-06-2015,tropical fruit,tropical fruit,tropical fruit
4651,21-06-2015,photo/film,photofilm,electronics
4243,02-04-2015,sausage,sausage,sausage
4429,21-07-2015,grapes,grapes,fruits
4645,25-07-2015,domestic eggs,domestic eggs,domestic eggs
4019,24-07-2015,rolls/buns,rollsbuns,bakery
4459,26-04-2015,tropical fruit,tropical fruit,tropical fruit
3006,27-12-2015,chicken,chicken,meat
1834,17-09-2015,frankfurter,frankfurter,meat
3236,04-07-2015,berries,berries,berries
1765,11-03-2015,margarine,margarine,margarine
3855,09-03-2015,tropical fruit,tropical fruit,tropical fruit
4392,28-11-2015,ham,ham,meat
3330,26-07-2015,hamburger meat,hamburger meat,meat
1723,02-09-2015,yogurt,yogurt,yogurt
4110,30-03-2015,soda,soda,soda
2600,28-01-2015,yogurt,yogurt,yogurt
2946,07-10-2015,soda,soda,soda
2426,08-09-2015,bottled water,bottled water,bottled water
4170,03-05-2015,sausage,sausage,sausage
1109,06-04-2015,citrus fruit,citrus fruit,citrus fruit
3429,04-01-2015,shopping bags,shopping bags,bags
2055,04-02-2015,newspapers,newspapers,stationery
2480,20-09-2015,frankfurter,frankfurter,meat
2441,30-05-2015,sausage,sausage,sausage
1054,04-10-2015,frankfurter,frankfurter,meat
4818,11-01-2015,salt,salt,spices
3379,21-01-2015,oil,oil,oils
3939,10-02-2015,curd,curd,curd
1367,05-08-2015,other vegetables,other vegetables,vegetables
1043,10-01-2015,citrus fruit,citrus fruit,citrus fruit
2231,17-10-2015,frankfurter,frankfurter,meat
3235,28-12-2015,root vegetables,root vegetables,root vegetables
4554,16-07-2015,tropical fruit,tropical fruit,tropical fruit
3245,24-01-2015,beef,beef,beef
2996,19-05-2015,berries,berries,berries
2507,05-01-2015,canned beer,canned beer,beverages
4186,25-10-2015,whipped/sour cream,whippedsour cream,dairy
3929,28-04-2015,root vegetables,root vegetables,root vegetables
3760,22-11-2015,whole milk,whole milk,whole milk
4928,18-08-2015,beef,beef,beef
4217,18-12-2015,frozen vegetables,frozen vegetables,vegetables
1174,11-02-2015,rolls/buns,rollsbuns,bakery
4103,19-06-2015,whole milk,whole milk,whole milk
4408,13-03-2015,whole milk,whole milk,whole milk
2588,28-12-2015,citrus fruit,citrus fruit,citrus fruit
2598,11-11-2015,pastry,pastry,pastry
1518,11-12-2015,frankfurter,frankfurter,meat
2702,08-04-2015,tropical fruit,tropical fruit,tropical fruit
1001,20-01-2015,frankfurter,frankfurter,meat
2270,30-09-2015,berries,berries,berries
2838,10-11-2015,rolls/buns,rollsbuns,bakery
1683,26-05-2015,root vegetables,root vegetables,root vegetables
4040,03-04-2015,yogurt,yogurt,yogurt
3897,23-08-2015,other vegetables,other vegetables,vegetables
2200,11-03-2015,berries,berries,berries
4073,29-01-2015,berries,berries,berries
3700,19-04-2015,other vegetables,other vegetables,vegetables
3973,10-06-2015,rolls/buns,rollsbuns,bakery
2715,06-07-2015,ham,ham,meat
3967,23-11-2015,whole milk,whole milk,whole milk
4002,03-09-2015,tropical fruit,tropical fruit,tropical fruit
2962,01-03-2015,bottled water,bottled water,bottled water
4340,25-12-2015,butter milk,butter milk,dairy
2092,06-11-2015,newspapers,newspapers,stationery
3143,24-05-2015,coffee,coffee,coffee
2209,03-10-2015,bottled beer,bottled beer,beverages
2816,22-08-2015,onions,onions,vegetables
2659,01-06-2015,hamburger meat,hamburger meat,meat
1588,13-10-2015,sausage,sausage,sausage
1144,15-10-2015,hard cheese,hard cheese,hard cheese
2166,10-12-2015,sausage,sausage,sausage
3300,06-10-2015,hamburger meat,hamburger meat,meat
3944,03-01-2015,onions,onions,vegetables
4979,24-04-2015,coffee,coffee,coffee
2630,21-01-2015,shopping bags,shopping bags,bags
4240,29-04-2015,yogurt,yogurt,yogurt
2357,08-07-2015,soda,soda,soda
1743,18-04-2015,sliced cheese,sliced cheese,sliced cheese
2331,15-02-2015,sausage,sausage,sausage
1643,28-04-2015,yogurt,yogurt,yogurt
1291,20-03-2015,domestic eggs,domestic eggs,domestic eggs
3675,04-07-2015,whole milk,whole milk,whole milk
4134,06-11-2015,meat,meat,meat
1363,21-06-2015,dish cleaner,dish cleaner,cleaning
4212,01-05-2015,other vegetables,other vegetables,vegetables
1500,21-03-2015,whole milk,whole milk,whole milk
2622,01-10-2015,other vegetables,other vegetables,vegetables
3543,18-03-2015,tropical fruit,tropical fruit,tropical fruit
2525,24-05-2015,baking powder,baking powder,baking_ingredients
1264,12-10-2015,specialty bar,specialty bar,specialty bar
3601,06-07-2015,ice cream,ice cream,ice cream
1771,23-03-2015,frankfurter,frankfurter,meat
4694,06-02-2015,canned beer,canned beer,beverages
1122,21-12-2015,bottled water,bottled water,bottled water
3507,12-08-2015,other vegetables,other vegetables,vegetables
4524,26-04-2015,citrus fruit,citrus fruit,citrus fruit
3612,27-09-2015,sausage,sausage,sausage
3262,11-06-2015,domestic eggs,domestic eggs,domestic eggs
1897,25-01-2015,pork,pork,meat
1656,30-10-2015,specialty cheese,specialty cheese,specialty cheese
3953,10-01-2015,pork,pork,meat
1488,21-06-2015,beef,beef,beef
1652,17-03-2015,other vegetables,other vegetables,vegetables
4953,16-09-2015,chicken,chicken,meat
3445,30-04-2015,soda,soda,soda
3180,15-03-2015,whole milk,whole milk,whole milk
4934,06-09-2015,rolls/buns,rollsbuns,bakery
2980,27-04-2015,bottled beer,bottled beer,beverages
2763,13-02-2015,root vegetables,root vegetables,root vegetables
4819,04-03-2015,pastry,pastry,pastry
3169,02-07-2015,berries,berries,berries
1850,11-03-2015,citrus fruit,citrus fruit,citrus fruit
4285,29-12-2015,whole milk,whole milk,whole milk
4366,13-08-2015,soda,soda,soda
2253,16-06-2015,bottled water,bottled water,bottled water
3398,11-03-2015,tropical fruit,tropical fruit,tropical fruit
2215,22-07-2015,salty snack,salty snack,snacks
3737,03-03-2015,bottled water,bottled water,bottled water
2649,28-11-2015,chocolate,chocolate,sweets
3203,07-08-2015,citrus fruit,citrus fruit,citrus fruit
4261,16-02-2015,bottled water,bottled water,bottled water
2435,17-07-2015,onions,onions,vegetables
2046,21-08-2015,dessert,dessert,dessert
4267,11-02-2015,beef,beef,beef
1086,28-12-2015,rolls/buns,rollsbuns,bakery
1992,04-01-2015,beef,beef,beef
3622,26-07-2015,soda,soda,soda
4700,27-06-2015,coffee,coffee,coffee
2272,16-05-2015,rolls/buns,rollsbuns,bakery
1663,19-05-2015,pork,pork,meat
2519,03-06-2015,soda,soda,soda
2639,30-10-2015,sausage,sausage,sausage
1466,19-04-2015,beef,beef,beef
4122,23-10-2015,whole milk,whole milk,whole milk
3598,15-04-2015,pork,pork,meat
3097,10-08-2015,berries,berries,berries
1873,19-09-2015,sausage,sausage,sausage
1537,01-02-2015,bottled water,bottled water,bottled water
3960,25-03-2015,tropical fruit,tropical fruit,tropical fruit
1136,15-06-2015,herbs,herbs,herbs
2453,21-12-2015,yogurt,yogurt,yogurt
1746,15-02-2015,Instant food products,instant food products,ready_meals
3572,09-06-2015,specialty chocolate,specialty chocolate,sweets
3246,24-06-2015,coffee,coffee,coffee
3207,26-11-2015,bottled beer,bottled beer,beverages
1042,12-02-2015,beef,beef,beef
1176,30-03-2015,whole milk,whole milk,whole milk
3054,23-02-2015,frankfurter,frankfurter,meat
4486,02-12-2015,frankfurter,frankfurter,meat
1580,05-12-2015,other vegetables,other vegetables,vegetables
1623,02-11-2015,frankfurter,frankfurter,meat
4169,24-11-2015,whole milk,whole milk,whole milk
2254,24-01-2015,frankfurter,frankfurter,meat
4095,01-11-2015,other vegetables,other vegetables,vegetables
1264,17-11-2015,bottled water,bottled water,bottled water
3375,06-01-2015,pork,pork,meat
3242,23-05-2015,bottled water,bottled water,bottled water
2227,07-06-2015,other vegetables,other vegetables,vegetables
3847,03-12-2015,hamburger meat,hamburger meat,meat
3897,31-05-2015,hamburger meat,hamburger meat,meat
1799,27-09-2015,shopping bags,shopping bags,bags
2920,26-04-2015,whole milk,whole milk,whole milk
3713,31-01-2015,ice cream,ice cream,ice cream
4230,05-11-2015,pastry,pastry,pastry
1455,18-03-2015,ham,ham,meat
3687,18-03-2015,frankfurter,frankfurter,meat
3869,01-08-2015,sausage,sausage,sausage
2988,14-10-2015,bottled beer,bottled beer,beverages
4242,30-03-2015,bottled water,bottled water,bottled water
4118,24-12-2015,meat,meat,meat
4996,24-10-2015,dessert,dessert,dessert
4489,04-03-2015,other vegetables,other vegetables,vegetables
1199,09-11-2015,beverages,beverages,beverages
4108,12-05-2015,ham,ham,meat
3484,05-06-2015,specialty bar,specialty bar,specialty bar
1239,31-08-2015,brown bread,brown bread,brown bread
4839,19-12-2015,whole milk,whole milk,whole milk
4748,07-05-2015,rolls/buns,rollsbuns,bakery
4426,06-06-2015,bottled beer,bottled beer,beverages
3571,11-12-2015,pet care,pet care,pet_care
2852,08-06-2015,citrus fruit,citrus fruit,citrus fruit
3638,26-05-2015,pork,pork,meat
3635,10-03-2015,other vegetables,other vegetables,vegetables
2723,07-05-2015,white wine,white wine,beverages
3495,11-03-2015,whole milk,whole milk,whole milk
2813,16-11-2015,pip fruit,pip fruit,pip fruit
2799,02-09-2015,sugar,sugar,sweeteners
4723,22-05-2015,tropical fruit,tropical fruit,tropical fruit
3313,08-04-2015,root vegetables,root vegetables,root vegetables
4748,15-12-2015,soda,soda,soda
2991,16-02-2015,whole milk,whole milk,whole milk
1483,01-04-2015,tropical fruit,tropical fruit,tropical fruit
3950,01-10-2015,white bread,white bread,bakery
1634,16-01-2015,brown bread,brown bread,brown bread
2694,21-11-2015,tropical fruit,tropical fruit,tropical fruit
2707,18-10-2015,domestic eggs,domestic eggs,domestic eggs
2813,16-07-2015,coffee,coffee,coffee
2276,11-01-2015,soda,soda,soda
4726,06-02-2015,whole milk,whole milk,whole milk
4353,25-05-2015,bottled beer,bottled beer,beverages
4017,13-08-2015,pork,pork,meat
1422,21-08-2015,other vegetables,other vegetables,vegetables
2714,15-03-2015,yogurt,yogurt,yogurt
2769,21-07-2015,sparkling wine,sparkling wine,beverages
4166,30-04-2015,bottled water,bottled water,bottled water
3614,02-03-2015,citrus fruit,citrus fruit,citrus fruit
4361,05-09-2015,hamburger meat,hamburger meat,meat
1922,22-09-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
4728,06-09-2015,other vegetables,other vegetables,vegetables
3646,08-08-2015,soda,soda,soda
1155,10-08-2015,whole milk,whole milk,whole milk
2119,11-06-2015,herbs,herbs,herbs
1602,29-08-2015,citrus fruit,citrus fruit,citrus fruit
1074,24-06-2015,misc. beverages,misc beverages,misc beverages
2256,11-04-2015,female sanitary products,female sanitary products,personal_care
1348,17-09-2015,soda,soda,soda
3806,28-08-2015,tropical fruit,tropical fruit,tropical fruit
1711,06-06-2015,soda,soda,soda
3959,12-04-2015,white bread,white bread,bakery
1590,15-08-2015,coffee,coffee,coffee
1962,08-06-2015,tropical fruit,tropical fruit,tropical fruit
1766,21-01-2015,pork,pork,meat
2551,21-10-2015,citrus fruit,citrus fruit,citrus fruit
2294,23-09-2015,frankfurter,frankfurter,meat
4531,29-05-2015,frankfurter,frankfurter,meat
2957,12-04-2015,frankfurter,frankfurter,meat
4415,27-01-2015,other vegetables,other vegetables,vegetables
1476,26-08-2015,yogurt,yogurt,yogurt
3978,23-07-2015,sausage,sausage,sausage
2062,22-09-2015,whole milk,whole milk,whole milk
3252,28-06-2015,pip fruit,pip fruit,pip fruit
3922,24-06-2015,whole milk,whole milk,whole milk
1491,17-10-2015,root vegetables,root vegetables,root vegetables
3526,26-08-2015,onions,onions,vegetables
4060,11-12-2015,specialty chocolate,specialty chocolate,sweets
1067,08-04-2015,hamburger meat,hamburger meat,meat
2840,27-01-2015,photo/film,photofilm,electronics
4484,27-11-2015,rolls/buns,rollsbuns,bakery
2353,07-02-2015,canned beer,canned beer,beverages
3130,18-02-2015,canned beer,canned beer,beverages
4273,14-06-2015,other vegetables,other vegetables,vegetables
4565,30-12-2015,canned beer,canned beer,beverages
